Given args
Namespace(coco_annotations='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data/coco_meta.json', coco_root='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data', deterministic=True, model='resnet50', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
STOP;forward_path;epoch-0;batch-6;time.time_ns-1623246697739364397
START;backward_path;epoch-0;batch-6;time.time_ns-1623246697739368244
STOP;backward_path;epoch-0;batch-6;time.time_ns-1623246697804472256
START;load_data;epoch-0;batch-7;time.time_ns-1623246697804479069
STOP;batch-time;epoch-0;batch-6;time.time_ns-1623246697804480341
START;batch-time;epoch-0;batch-7;time.time_ns-1623246697804569239
STOP;load_data;epoch-0;batch-7;time.time_ns-1623246698275547684
START;to_device;epoch-0;batch-7;time.time_ns-1623246698275559977
STOP;to_device;epoch-0;batch-7;time.time_ns-1623246698279289303
START;forward_path;epoch-0;batch-7;time.time_ns-1623246698279291497
STOP;forward_path;epoch-0;batch-7;time.time_ns-1623246698301383407
START;backward_path;epoch-0;batch-7;time.time_ns-1623246698301387144
STOP;backward_path;epoch-0;batch-7;time.time_ns-1623246698367235674
START;load_data;epoch-0;batch-8;time.time_ns-1623246698367240974
STOP;batch-time;epoch-0;batch-7;time.time_ns-1623246698367242236
START;batch-time;epoch-0;batch-8;time.time_ns-1623246698367243228
STOP;load_data;epoch-0;batch-8;time.time_ns-1623246698840161994
START;to_device;epoch-0;batch-8;time.time_ns-1623246698840174478
STOP;to_device;epoch-0;batch-8;time.time_ns-1623246698843350267
START;forward_path;epoch-0;batch-8;time.time_ns-1623246698843352671
STOP;forward_path;epoch-0;batch-8;time.time_ns-1623246698865873452
START;backward_path;epoch-0;batch-8;time.time_ns-1623246698865877239
STOP;backward_path;epoch-0;batch-8;time.time_ns-1623246698931451801
START;load_data;epoch-0;batch-9;time.time_ns-1623246698931456530
STOP;batch-time;epoch-0;batch-8;time.time_ns-1623246698931457782
START;batch-time;epoch-0;batch-9;time.time_ns-1623246698931458854
STOP;load_data;epoch-0;batch-9;time.time_ns-1623246699407791279
START;to_device;epoch-0;batch-9;time.time_ns-1623246699407802841
STOP;to_device;epoch-0;batch-9;time.time_ns-1623246699411394888
START;forward_path;epoch-0;batch-9;time.time_ns-1623246699411398024
STOP;forward_path;epoch-0;batch-9;time.time_ns-1623246699433953130
START;backward_path;epoch-0;batch-9;time.time_ns-1623246699433956907
STOP;backward_path;epoch-0;batch-9;time.time_ns-1623246699499498997
START;load_data;epoch-0;batch-10;time.time_ns-1623246699499504387
STOP;batch-time;epoch-0;batch-9;time.time_ns-1623246699499505640
START;batch-time;epoch-0;batch-10;time.time_ns-1623246699499506662
STOP;load_data;epoch-0;batch-10;time.time_ns-1623246699968736488
START;to_device;epoch-0;batch-10;time.time_ns-1623246699968749813
STOP;to_device;epoch-0;batch-10;time.time_ns-1623246699971807649
START;forward_path;epoch-0;batch-10;time.time_ns-1623246699971810484
STOP;forward_path;epoch-0;batch-10;time.time_ns-1623246699994515103
START;backward_path;epoch-0;batch-10;time.time_ns-1623246699994518900
STOP;backward_path;epoch-0;batch-10;time.time_ns-1623246700059785058
START;load_data;epoch-0;batch-11;time.time_ns-1623246700059790078
STOP;batch-time;epoch-0;batch-10;time.time_ns-1623246700059791310
START;batch-time;epoch-0;batch-11;time.time_ns-1623246700059792342
STOP;load_data;epoch-0;batch-11;time.time_ns-1623246700547833952
START;to_device;epoch-0;batch-11;time.time_ns-1623246700547852948
STOP;to_device;epoch-0;batch-11;time.time_ns-1623246700551474830
START;forward_path;epoch-0;batch-11;time.time_ns-1623246700551477195
STOP;forward_path;epoch-0;batch-11;time.time_ns-1623246700573786977
START;backward_path;epoch-0;batch-11;time.time_ns-1623246700573790934
STOP;backward_path;epoch-0;batch-11;time.time_ns-1623246700639396204
START;load_data;epoch-0;batch-12;time.time_ns-1623246700639400993
STOP;batch-time;epoch-0;batch-11;time.time_ns-1623246700639402245
START;batch-time;epoch-0;batch-12;time.time_ns-1623246700639403307
STOP;load_data;epoch-0;batch-12;time.time_ns-1623246701112837709
START;to_device;epoch-0;batch-12;time.time_ns-1623246701112847899
STOP;to_device;epoch-0;batch-12;time.time_ns-1623246701115927695
START;forward_path;epoch-0;batch-12;time.time_ns-1623246701115930521
STOP;forward_path;epoch-0;batch-12;time.time_ns-1623246701138227699
START;backward_path;epoch-0;batch-12;time.time_ns-1623246701138231656
STOP;backward_path;epoch-0;batch-12;time.time_ns-1623246701203865530
START;load_data;epoch-0;batch-13;time.time_ns-1623246701203870730
STOP;batch-time;epoch-0;batch-12;time.time_ns-1623246701203871952
START;batch-time;epoch-0;batch-13;time.time_ns-1623246701203872944
STOP;load_data;epoch-0;batch-13;time.time_ns-1623246701682924153
START;to_device;epoch-0;batch-13;time.time_ns-1623246701682936837
STOP;to_device;epoch-0;batch-13;time.time_ns-1623246701685946803
START;forward_path;epoch-0;batch-13;time.time_ns-1623246701685949417
STOP;forward_path;epoch-0;batch-13;time.time_ns-1623246701708478695
START;backward_path;epoch-0;batch-13;time.time_ns-1623246701708482782
STOP;backward_path;epoch-0;batch-13;time.time_ns-1623246701773958788
START;load_data;epoch-0;batch-14;time.time_ns-1623246701773963887
STOP;batch-time;epoch-0;batch-13;time.time_ns-1623246701773966111
START;batch-time;epoch-0;batch-14;time.time_ns-1623246701773967163
STOP;load_data;epoch-0;batch-14;time.time_ns-1623246702265150277
START;to_device;epoch-0;batch-14;time.time_ns-1623246702265161759
STOP;to_device;epoch-0;batch-14;time.time_ns-1623246702268824629
START;forward_path;epoch-0;batch-14;time.time_ns-1623246702268826733
STOP;forward_path;epoch-0;batch-14;time.time_ns-1623246702290906560
START;backward_path;epoch-0;batch-14;time.time_ns-1623246702290910547
STOP;backward_path;epoch-0;batch-14;time.time_ns-1623246702356785197
START;load_data;epoch-0;batch-15;time.time_ns-1623246702356876419
STOP;batch-time;epoch-0;batch-14;time.time_ns-1623246702356878023
START;batch-time;epoch-0;batch-15;time.time_ns-1623246702356879085
STOP;load_data;epoch-0;batch-15;time.time_ns-1623246702902156418
START;to_device;epoch-0;batch-15;time.time_ns-1623246702902170435
STOP;to_device;epoch-0;batch-15;time.time_ns-1623246702904473673
START;forward_path;epoch-0;batch-15;time.time_ns-1623246702904476388
STOP;forward_path;epoch-0;batch-15;time.time_ns-1623246702927493047
START;backward_path;epoch-0;batch-15;time.time_ns-1623246702927496995
STOP;backward_path;epoch-0;batch-15;time.time_ns-1623246702992713008
START;load_data;epoch-0;batch-16;time.time_ns-1623246702992720452
STOP;batch-time;epoch-0;batch-15;time.time_ns-1623246702992721684
START;batch-time;epoch-0;batch-16;time.time_ns-1623246702992722927
STOP;load_data;epoch-0;batch-16;time.time_ns-1623246703471441206
START;to_device;epoch-0;batch-16;time.time_ns-1623246703471454251
STOP;to_device;epoch-0;batch-16;time.time_ns-1623246703474404493
START;forward_path;epoch-0;batch-16;time.time_ns-1623246703474407138
STOP;forward_path;epoch-0;batch-16;time.time_ns-1623246703497170127
START;backward_path;epoch-0;batch-16;time.time_ns-1623246703497173944
STOP;backward_path;epoch-0;batch-16;time.time_ns-1623246703562341877
START;load_data;epoch-0;batch-17;time.time_ns-1623246703562347317
STOP;batch-time;epoch-0;batch-16;time.time_ns-1623246703562458978
START;batch-time;epoch-0;batch-17;time.time_ns-1623246703562460511
STOP;load_data;epoch-0;batch-17;time.time_ns-1623246704040989332
START;to_device;epoch-0;batch-17;time.time_ns-1623246704041002617
STOP;to_device;epoch-0;batch-17;time.time_ns-1623246704044211258
START;forward_path;epoch-0;batch-17;time.time_ns-1623246704044213733
