Given args
Namespace(coco_annotations='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data/coco_meta.json', coco_root='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data', deterministic=True, model='resnet18', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
STOP;batch-time;epoch-0;batch-11;time.time_ns-1623236044380264541
START;batch-time;epoch-0;batch-12;time.time_ns-1623236044380265903
STOP;load_data;epoch-0;batch-12;time.time_ns-1623236045222674181
START;to_device;epoch-0;batch-12;time.time_ns-1623236045222689640
STOP;to_device;epoch-0;batch-12;time.time_ns-1623236045224968993
START;forward_path;epoch-0;batch-12;time.time_ns-1623236045224972740
STOP;forward_path;epoch-0;batch-12;time.time_ns-1623236045235019402
START;backward_path;epoch-0;batch-12;time.time_ns-1623236045235022888
STOP;backward_path;epoch-0;batch-12;time.time_ns-1623236045256714896
START;load_data;epoch-0;batch-13;time.time_ns-1623236045256721178
STOP;batch-time;epoch-0;batch-12;time.time_ns-1623236045256722500
START;batch-time;epoch-0;batch-13;time.time_ns-1623236045256723833
STOP;load_data;epoch-0;batch-13;time.time_ns-1623236046088133608
START;to_device;epoch-0;batch-13;time.time_ns-1623236046088148716
STOP;to_device;epoch-0;batch-13;time.time_ns-1623236046090440012
START;forward_path;epoch-0;batch-13;time.time_ns-1623236046090443138
STOP;forward_path;epoch-0;batch-13;time.time_ns-1623236046100234957
START;backward_path;epoch-0;batch-13;time.time_ns-1623236046100238604
STOP;backward_path;epoch-0;batch-13;time.time_ns-1623236046122021614
START;load_data;epoch-0;batch-14;time.time_ns-1623236046122028067
STOP;batch-time;epoch-0;batch-13;time.time_ns-1623236046122030902
START;batch-time;epoch-0;batch-14;time.time_ns-1623236046122032385
STOP;load_data;epoch-0;batch-14;time.time_ns-1623236046922020250
START;to_device;epoch-0;batch-14;time.time_ns-1623236046922035568
STOP;to_device;epoch-0;batch-14;time.time_ns-1623236046924521824
START;forward_path;epoch-0;batch-14;time.time_ns-1623236046924524348
STOP;forward_path;epoch-0;batch-14;time.time_ns-1623236046934117020
START;backward_path;epoch-0;batch-14;time.time_ns-1623236046934120517
STOP;backward_path;epoch-0;batch-14;time.time_ns-1623236046956148120
START;load_data;epoch-0;batch-15;time.time_ns-1623236046956223583
STOP;batch-time;epoch-0;batch-14;time.time_ns-1623236046956224885
START;batch-time;epoch-0;batch-15;time.time_ns-1623236046956226087
STOP;load_data;epoch-0;batch-15;time.time_ns-1623236047728048414
START;to_device;epoch-0;batch-15;time.time_ns-1623236047728062912
STOP;to_device;epoch-0;batch-15;time.time_ns-1623236047730332797
START;forward_path;epoch-0;batch-15;time.time_ns-1623236047730335392
STOP;forward_path;epoch-0;batch-15;time.time_ns-1623236047740290650
START;backward_path;epoch-0;batch-15;time.time_ns-1623236047740294568
STOP;backward_path;epoch-0;batch-15;time.time_ns-1623236047761954926
START;load_data;epoch-0;batch-16;time.time_ns-1623236047761962841
STOP;batch-time;epoch-0;batch-15;time.time_ns-1623236047761964213
START;batch-time;epoch-0;batch-16;time.time_ns-1623236047761965566
STOP;load_data;epoch-0;batch-16;time.time_ns-1623236048599118438
START;to_device;epoch-0;batch-16;time.time_ns-1623236048599133356
STOP;to_device;epoch-0;batch-16;time.time_ns-1623236048601607649
START;forward_path;epoch-0;batch-16;time.time_ns-1623236048601610344
STOP;forward_path;epoch-0;batch-16;time.time_ns-1623236048611285452
START;backward_path;epoch-0;batch-16;time.time_ns-1623236048611289249
STOP;backward_path;epoch-0;batch-16;time.time_ns-1623236048632976578
START;load_data;epoch-0;batch-17;time.time_ns-1623236048632982950
STOP;batch-time;epoch-0;batch-16;time.time_ns-1623236048633051881
START;batch-time;epoch-0;batch-17;time.time_ns-1623236048633053043
STOP;load_data;epoch-0;batch-17;time.time_ns-1623236049384440260
START;to_device;epoch-0;batch-17;time.time_ns-1623236049384456641
STOP;to_device;epoch-0;batch-17;time.time_ns-1623236049386730213
START;forward_path;epoch-0;batch-17;time.time_ns-1623236049386732788
STOP;forward_path;epoch-0;batch-17;time.time_ns-1623236049396358403
START;backward_path;epoch-0;batch-17;time.time_ns-1623236049396362170
STOP;backward_path;epoch-0;batch-17;time.time_ns-1623236049418010325
START;load_data;epoch-0;batch-18;time.time_ns-1623236049418016947
STOP;batch-time;epoch-0;batch-17;time.time_ns-1623236049418018290
START;batch-time;epoch-0;batch-18;time.time_ns-1623236049418019612
STOP;load_data;epoch-0;batch-18;time.time_ns-1623236050211757760
START;to_device;epoch-0;batch-18;time.time_ns-1623236050211781716
STOP;to_device;epoch-0;batch-18;time.time_ns-1623236050214041752
START;forward_path;epoch-0;batch-18;time.time_ns-1623236050214044357
STOP;forward_path;epoch-0;batch-18;time.time_ns-1623236050223756325
START;backward_path;epoch-0;batch-18;time.time_ns-1623236050223760023
STOP;backward_path;epoch-0;batch-18;time.time_ns-1623236050245661897
START;load_data;epoch-0;batch-19;time.time_ns-1623236050245668340
STOP;batch-time;epoch-0;batch-18;time.time_ns-1623236050245669592
START;batch-time;epoch-0;batch-19;time.time_ns-1623236050245670704
STOP;load_data;epoch-0;batch-19;time.time_ns-1623236051052729108
START;to_device;epoch-0;batch-19;time.time_ns-1623236051052744417
STOP;to_device;epoch-0;batch-19;time.time_ns-1623236051055014072
START;forward_path;epoch-0;batch-19;time.time_ns-1623236051055016607
STOP;forward_path;epoch-0;batch-19;time.time_ns-1623236051064887416
START;backward_path;epoch-0;batch-19;time.time_ns-1623236051064891123
STOP;backward_path;epoch-0;batch-19;time.time_ns-1623236051086541953
START;load_data;epoch-0;batch-20;time.time_ns-1623236051086547934
STOP;batch-time;epoch-0;batch-19;time.time_ns-1623236051086549156
START;batch-time;epoch-0;batch-20;time.time_ns-1623236051086550148
STOP;load_data;epoch-0;batch-20;time.time_ns-1623236051868296634
START;to_device;epoch-0;batch-20;time.time_ns-1623236051868312294
STOP;to_device;epoch-0;batch-20;time.time_ns-1623236051871154672
START;forward_path;epoch-0;batch-20;time.time_ns-1623236051871158179
STOP;forward_path;epoch-0;batch-20;time.time_ns-1623236051892189326
START;backward_path;epoch-0;batch-20;time.time_ns-1623236051892193033
STOP;backward_path;epoch-0;batch-20;time.time_ns-1623236051916264574
START;load_data;epoch-0;batch-21;time.time_ns-1623236051916311843
STOP;batch-time;epoch-0;batch-20;time.time_ns-1623236051916313727
START;batch-time;epoch-0;batch-21;time.time_ns-1623236051916314829
STOP;load_data;epoch-0;batch-21;time.time_ns-1623236052627470145
START;to_device;epoch-0;batch-21;time.time_ns-1623236052627484121
STOP;to_device;epoch-0;batch-21;time.time_ns-1623236052629762172
START;forward_path;epoch-0;batch-21;time.time_ns-1623236052629765158
STOP;forward_path;epoch-0;batch-21;time.time_ns-1623236052639367739
START;backward_path;epoch-0;batch-21;time.time_ns-1623236052639495701
STOP;backward_path;epoch-0;batch-21;time.time_ns-1623236052661386345
START;load_data;epoch-0;batch-22;time.time_ns-1623236052661392476
STOP;batch-time;epoch-0;batch-21;time.time_ns-1623236052661393829
START;batch-time;epoch-0;batch-22;time.time_ns-1623236052661395021
STOP;load_data;epoch-0;batch-22;time.time_ns-1623236053424237084
START;to_device;epoch-0;batch-22;time.time_ns-1623236053424253265
STOP;to_device;epoch-0;batch-22;time.time_ns-1623236053426510496
START;forward_path;epoch-0;batch-22;time.time_ns-1623236053426513251
STOP;forward_path;epoch-0;batch-22;time.time_ns-1623236053436248343
START;backward_path;epoch-0;batch-22;time.time_ns-1623236053436251970
STOP;backward_path;epoch-0;batch-22;time.time_ns-1623236053457827437
START;load_data;epoch-0;batch-23;time.time_ns-1623236053457833609
STOP;batch-time;epoch-0;batch-22;time.time_ns-1623236053457834921
START;batch-time;epoch-0;batch-23;time.time_ns-1623236053457836655
STOP;load_data;epoch-0;batch-23;time.time_ns-1623236054278165660
START;to_device;epoch-0;batch-23;time.time_ns-1623236054278185728
STOP;to_device;epoch-0;batch-23;time.time_ns-1623236054280542849
START;forward_path;epoch-0;batch-23;time.time_ns-1623236054280546075
STOP;forward_path;epoch-0;batch-23;time.time_ns-1623236054291963290
START;backward_path;epoch-0;batch-23;time.time_ns-1623236054291967147
STOP;backward_path;epoch-0;batch-23;time.time_ns-1623236054314146747
START;load_data;epoch-0;batch-24;time.time_ns-1623236054314154171
STOP;batch-time;epoch-0;batch-23;time.time_ns-1623236054314155323
START;batch-time;epoch-0;batch-24;time.time_ns-1623236054314157217
STOP;load_data;epoch-0;batch-24;time.time_ns-1623236055139873547
START;to_device;epoch-0;batch-24;time.time_ns-1623236055139889547
STOP;to_device;epoch-0;batch-24;time.time_ns-1623236055142142942
START;forward_path;epoch-0;batch-24;time.time_ns-1623236055142145366
STOP;forward_path;epoch-0;batch-24;time.time_ns-1623236055153334199
START;backward_path;epoch-0;batch-24;time.time_ns-1623236055153338086
STOP;backward_path;epoch-0;batch-24;time.time_ns-1623236055175132798
START;load_data;epoch-0;batch-25;time.time_ns-1623236055175138519
STOP;batch-time;epoch-0;batch-24;time.time_ns-1623236055175139702
START;batch-time;epoch-0;batch-25;time.time_ns-1623236055175140693
STOP;load_data;epoch-0;batch-25;time.time_ns-1623236056086570630
START;to_device;epoch-0;batch-25;time.time_ns-1623236056086594825
STOP;to_device;epoch-0;batch-25;time.time_ns-1623236056090319975
START;forward_path;epoch-0;batch-25;time.time_ns-1623236056090335524
STOP;forward_path;epoch-0;batch-25;time.time_ns-1623236056101865052
START;backward_path;epoch-0;batch-25;time.time_ns-1623236056101869049
