Given args
Namespace(coco_annotations='/scratch/nils.strassenburg/custom-coco/coco_meta.json', coco_root='/scratch/nils.strassenburg/custom-coco', deterministic=True, model='resnet152', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
START;to_device;epoch-0;batch-12;time.time_ns-1619338102975487781
STOP;to_device;epoch-0;batch-12;time.time_ns-1619338102978686231
START;forward_path;epoch-0;batch-12;time.time_ns-1619338102978688635
STOP;forward_path;epoch-0;batch-12;time.time_ns-1619338103042844800
START;backward_path;epoch-0;batch-12;time.time_ns-1619338103042849209
STOP;backward_path;epoch-0;batch-12;time.time_ns-1619338103379143330
START;load_data;epoch-0;batch-13;time.time_ns-1619338103379148530
STOP;batch-time;epoch-0;batch-12;time.time_ns-1619338103379149782
START;batch-time;epoch-0;batch-13;time.time_ns-1619338103379150974
STOP;load_data;epoch-0;batch-13;time.time_ns-1619338103881539628
START;to_device;epoch-0;batch-13;time.time_ns-1619338103881566419
STOP;to_device;epoch-0;batch-13;time.time_ns-1619338103885131723
START;forward_path;epoch-0;batch-13;time.time_ns-1619338103885134218
STOP;forward_path;epoch-0;batch-13;time.time_ns-1619338103950007379
START;backward_path;epoch-0;batch-13;time.time_ns-1619338103950012108
STOP;backward_path;epoch-0;batch-13;time.time_ns-1619338104286049805
START;load_data;epoch-0;batch-14;time.time_ns-1619338104286061537
STOP;batch-time;epoch-0;batch-13;time.time_ns-1619338104286062859
START;batch-time;epoch-0;batch-14;time.time_ns-1619338104286064873
STOP;load_data;epoch-0;batch-14;time.time_ns-1619338104800374428
START;to_device;epoch-0;batch-14;time.time_ns-1619338104800389416
STOP;to_device;epoch-0;batch-14;time.time_ns-1619338104803978656
START;forward_path;epoch-0;batch-14;time.time_ns-1619338104803981381
STOP;forward_path;epoch-0;batch-14;time.time_ns-1619338104868542372
START;backward_path;epoch-0;batch-14;time.time_ns-1619338104868546520
STOP;backward_path;epoch-0;batch-14;time.time_ns-1619338105204899062
START;load_data;epoch-0;batch-15;time.time_ns-1619338105204904893
STOP;batch-time;epoch-0;batch-14;time.time_ns-1619338105205219768
START;batch-time;epoch-0;batch-15;time.time_ns-1619338105205221171
STOP;load_data;epoch-0;batch-15;time.time_ns-1619338105714454383
START;to_device;epoch-0;batch-15;time.time_ns-1619338105714470784
STOP;to_device;epoch-0;batch-15;time.time_ns-1619338105717816212
START;forward_path;epoch-0;batch-15;time.time_ns-1619338105717818677
STOP;forward_path;epoch-0;batch-15;time.time_ns-1619338105782116009
START;backward_path;epoch-0;batch-15;time.time_ns-1619338105782120267
STOP;backward_path;epoch-0;batch-15;time.time_ns-1619338106118638102
START;load_data;epoch-0;batch-16;time.time_ns-1619338106118642761
STOP;batch-time;epoch-0;batch-15;time.time_ns-1619338106118645015
START;batch-time;epoch-0;batch-16;time.time_ns-1619338106118646057
STOP;load_data;epoch-0;batch-16;time.time_ns-1619338106637083270
START;to_device;epoch-0;batch-16;time.time_ns-1619338106637098108
STOP;to_device;epoch-0;batch-16;time.time_ns-1619338106640465899
START;forward_path;epoch-0;batch-16;time.time_ns-1619338106640468303
STOP;forward_path;epoch-0;batch-16;time.time_ns-1619338106704715781
START;backward_path;epoch-0;batch-16;time.time_ns-1619338106704720169
STOP;backward_path;epoch-0;batch-16;time.time_ns-1619338107040950179
START;load_data;epoch-0;batch-17;time.time_ns-1619338107040956411
STOP;batch-time;epoch-0;batch-16;time.time_ns-1619338107040957823
START;batch-time;epoch-0;batch-17;time.time_ns-1619338107041285614
STOP;load_data;epoch-0;batch-17;time.time_ns-1619338107562369834
START;to_device;epoch-0;batch-17;time.time_ns-1619338107562387227
STOP;to_device;epoch-0;batch-17;time.time_ns-1619338107565558095
START;forward_path;epoch-0;batch-17;time.time_ns-1619338107565560420
STOP;forward_path;epoch-0;batch-17;time.time_ns-1619338107630086384
START;backward_path;epoch-0;batch-17;time.time_ns-1619338107630090352
STOP;backward_path;epoch-0;batch-17;time.time_ns-1619338107966042366
START;load_data;epoch-0;batch-18;time.time_ns-1619338107966047896
STOP;batch-time;epoch-0;batch-17;time.time_ns-1619338107966049239
START;batch-time;epoch-0;batch-18;time.time_ns-1619338107966050471
STOP;load_data;epoch-0;batch-18;time.time_ns-1619338108477999220
START;to_device;epoch-0;batch-18;time.time_ns-1619338108478018476
STOP;to_device;epoch-0;batch-18;time.time_ns-1619338108481211737
START;forward_path;epoch-0;batch-18;time.time_ns-1619338108481214162
STOP;forward_path;epoch-0;batch-18;time.time_ns-1619338108546131196
START;backward_path;epoch-0;batch-18;time.time_ns-1619338108546135354
STOP;backward_path;epoch-0;batch-18;time.time_ns-1619338108882202365
START;load_data;epoch-0;batch-19;time.time_ns-1619338108882208857
STOP;batch-time;epoch-0;batch-18;time.time_ns-1619338108882210140
START;batch-time;epoch-0;batch-19;time.time_ns-1619338108882211212
STOP;load_data;epoch-0;batch-19;time.time_ns-1619338109373472496
START;to_device;epoch-0;batch-19;time.time_ns-1619338109373488316
STOP;to_device;epoch-0;batch-19;time.time_ns-1619338109376792126
START;forward_path;epoch-0;batch-19;time.time_ns-1619338109376794470
STOP;forward_path;epoch-0;batch-19;time.time_ns-1619338109441645089
START;backward_path;epoch-0;batch-19;time.time_ns-1619338109441649247
STOP;backward_path;epoch-0;batch-19;time.time_ns-1619338109777481554
START;load_data;epoch-0;batch-20;time.time_ns-1619338109777797792
STOP;batch-time;epoch-0;batch-19;time.time_ns-1619338109777799205
START;batch-time;epoch-0;batch-20;time.time_ns-1619338109777800297
STOP;load_data;epoch-0;batch-20;time.time_ns-1619338110290307272
START;to_device;epoch-0;batch-20;time.time_ns-1619338110290324615
STOP;to_device;epoch-0;batch-20;time.time_ns-1619338110292790059
START;forward_path;epoch-0;batch-20;time.time_ns-1619338110292792484
STOP;forward_path;epoch-0;batch-20;time.time_ns-1619338110359009758
START;backward_path;epoch-0;batch-20;time.time_ns-1619338110359014036
STOP;backward_path;epoch-0;batch-20;time.time_ns-1619338110693913438
START;load_data;epoch-0;batch-21;time.time_ns-1619338110693920291
STOP;batch-time;epoch-0;batch-20;time.time_ns-1619338110693921804
START;batch-time;epoch-0;batch-21;time.time_ns-1619338110693922976
STOP;load_data;epoch-0;batch-21;time.time_ns-1619338111209322984
START;to_device;epoch-0;batch-21;time.time_ns-1619338111209338092
STOP;to_device;epoch-0;batch-21;time.time_ns-1619338111211783939
START;forward_path;epoch-0;batch-21;time.time_ns-1619338111211799279
STOP;forward_path;epoch-0;batch-21;time.time_ns-1619338111278297373
START;backward_path;epoch-0;batch-21;time.time_ns-1619338111278301551
STOP;backward_path;epoch-0;batch-21;time.time_ns-1619338111612952344
START;load_data;epoch-0;batch-22;time.time_ns-1619338111612959387
STOP;batch-time;epoch-0;batch-21;time.time_ns-1619338111612960800
START;batch-time;epoch-0;batch-22;time.time_ns-1619338111612961912
STOP;load_data;epoch-0;batch-22;time.time_ns-1619338112113399054
START;to_device;epoch-0;batch-22;time.time_ns-1619338112113414914
STOP;to_device;epoch-0;batch-22;time.time_ns-1619338112116065709
START;forward_path;epoch-0;batch-22;time.time_ns-1619338112116068223
STOP;forward_path;epoch-0;batch-22;time.time_ns-1619338112183641443
START;backward_path;epoch-0;batch-22;time.time_ns-1619338112183646432
STOP;backward_path;epoch-0;batch-22;time.time_ns-1619338112517332179
START;load_data;epoch-0;batch-23;time.time_ns-1619338112517353299
STOP;batch-time;epoch-0;batch-22;time.time_ns-1619338112517355162
START;batch-time;epoch-0;batch-23;time.time_ns-1619338112517356515
STOP;load_data;epoch-0;batch-23;time.time_ns-1619338113030300857
START;to_device;epoch-0;batch-23;time.time_ns-1619338113030315875
STOP;to_device;epoch-0;batch-23;time.time_ns-1619338113032790206
START;forward_path;epoch-0;batch-23;time.time_ns-1619338113032792680
STOP;forward_path;epoch-0;batch-23;time.time_ns-1619338113098687244
START;backward_path;epoch-0;batch-23;time.time_ns-1619338113098692174
STOP;backward_path;epoch-0;batch-23;time.time_ns-1619338113433906081
START;load_data;epoch-0;batch-24;time.time_ns-1619338113433912844
STOP;batch-time;epoch-0;batch-23;time.time_ns-1619338113433914366
START;batch-time;epoch-0;batch-24;time.time_ns-1619338113433915599
STOP;load_data;epoch-0;batch-24;time.time_ns-1619338113933721437
START;to_device;epoch-0;batch-24;time.time_ns-1619338113933742547
STOP;to_device;epoch-0;batch-24;time.time_ns-1619338113936195928
START;forward_path;epoch-0;batch-24;time.time_ns-1619338113936198483
STOP;forward_path;epoch-0;batch-24;time.time_ns-1619338114010475874
START;backward_path;epoch-0;batch-24;time.time_ns-1619338114010497194
STOP;backward_path;epoch-0;batch-24;time.time_ns-1619338114337627260
START;load_data;epoch-0;batch-25;time.time_ns-1619338114337638000
STOP;batch-time;epoch-0;batch-24;time.time_ns-1619338114337639543
START;batch-time;epoch-0;batch-25;time.time_ns-1619338114337640986
STOP;load_data;epoch-0;batch-25;time.time_ns-1619338114853125393
START;to_device;epoch-0;batch-25;time.time_ns-1619338114853142565
STOP;to_device;epoch-0;batch-25;time.time_ns-1619338114855411908
START;forward_path;epoch-0;batch-25;time.time_ns-1619338114855414413
STOP;forward_path;epoch-0;batch-25;time.time_ns-1619338114921650713
START;backward_path;epoch-0;batch-25;time.time_ns-1619338114921655482
STOP;backward_path;epoch-0;batch-25;time.time_ns-1619338115256134459
START;load_data;epoch-0;batch-26;time.time_ns-1619338115256139980
STOP;batch-time;epoch-0;batch-25;time.time_ns-1619338115256141392
START;batch-time;epoch-0;batch-26;time.time_ns-1619338115256142454
STOP;load_data;epoch-0;batch-26;time.time_ns-1619338115777649184
START;to_device;epoch-0;batch-26;time.time_ns-1619338115777664293
STOP;to_device;epoch-0;batch-26;time.time_ns-1619338115780121601
START;forward_path;epoch-0;batch-26;time.time_ns-1619338115780124116
STOP;forward_path;epoch-0;batch-26;time.time_ns-1619338115844705275
START;backward_path;epoch-0;batch-26;time.time_ns-1619338115844709733
STOP;backward_path;epoch-0;batch-26;time.time_ns-1619338116180982664
START;load_data;epoch-0;batch-27;time.time_ns-1619338116180987985
STOP;batch-time;epoch-0;batch-26;time.time_ns-1619338116180989337
START;batch-time;epoch-0;batch-27;time.time_ns-1619338116180990439
STOP;load_data;epoch-0;batch-27;time.time_ns-1619338116699271477
START;to_device;epoch-0;batch-27;time.time_ns-1619338116699301063
